date,open,high,low,close,adjusted_close,volume,ticker
2023-01-03,192.38,193.36,188.93,190.41,183.745,4092466,VTI.US
2023-01-04,191.51,193.06,190.14,192.1,185.3758,3852482,VTI.US
2023-01-05,191.22,191.27,189.46,189.85,183.2046,4149991,VTI.US
2023-01-06,191.12,194.64,189.85,194.04,187.2479,3184261,VTI.US
2023-01-09,195.457,196.8882,194.008,194.12,187.3251,3888341,VTI.US
2023-01-10,193.65,195.65,193.29,195.65,188.8016,2963520,VTI.US
2023-01-11,196.55,198.25,196.1539,198.23,191.2913,3435333,VTI.US
2023-01-12,198.79,199.8,196.63,199.19,192.2177,3552746,VTI.US
2023-01-13,197.62,200.269,197.3001,200.04,193.0379,2798612,VTI.US
2023-01-17,200.04,200.88,199.34,199.77,192.7774,5426661,VTI.US
2023-01-18,200.4,201.09,196.56,196.62,189.7376,3890198,VTI.US
2023-01-19,195.41,196.24,194.32,195.02,188.1936,2282524,VTI.US
2023-01-20,195.85,198.81,194.93,198.76,191.8027,2429314,VTI.US
2023-01-23,199.2,202.16,198.7,201.28,194.2345,3438142,VTI.US
2023-01-24,200.4,201.455,199.74,200.95,193.9161,2679390,VTI.US
2023-01-25,198.95,201.2,197.59,201.05,194.0126,2801970,VTI.US
2023-01-26,202.35,203.28,200.85,203.12,196.0101,2806240,VTI.US
2023-01-27,202.6,205.05,202.575,203.94,196.8014,4521882,VTI.US
2023-01-30,202.28,203.61,201.09,201.21,194.167,2992250,VTI.US
2023-01-31,201.65,204.49,201.45,204.43,197.2742,4827629,VTI.US
2023-02-01,203.91,208.32,202.51,206.92,199.6771,4385573,VTI.US
2023-02-02,209.0,210.88,208.1,210.01,202.6589,3730807,VTI.US
2023-02-03,207.51,210.18,207.04,207.84,200.5649,2854159,VTI.US
2023-02-06,206.41,207.07,205.5,206.28,199.0595,2841716,VTI.US
2023-02-07,206.0,209.563,205.03,208.88,201.5685,3028103,VTI.US
2023-02-08,207.91,208.71,206.26,206.65,199.4165,2945397,VTI.US
2023-02-09,208.46,208.61,204.1,204.64,197.4769,2705943,VTI.US
2023-02-10,204.02,205.1796,203.47,205.01,197.8339,2159772,VTI.US
2023-02-13,205.41,207.5,204.99,207.45,200.1885,3467200,VTI.US
2023-02-14,206.65,208.6593,205.31,207.53,200.2657,2743414,VTI.US
2023-02-15,206.46,208.4978,206.04,208.46,201.1632,2003152,VTI.US
2023-02-16,205.97,208.02,205.54,205.68,198.4805,2458759,VTI.US
2023-02-17,204.77,205.2327,203.531,205.08,197.9015,2324041,VTI.US
2023-02-21,203.15,203.5,200.65,200.83,193.8003,3110758,VTI.US
2023-02-22,201.0,201.96,199.9296,200.66,193.6362,3011715,VTI.US
2023-02-23,202.09,202.458,199.38,201.73,194.6688,3440076,VTI.US
2023-02-24,199.29,199.93,198.16,199.48,192.4975,3020598,VTI.US
2023-02-27,201.31,202.03,199.72,200.19,193.1827,2850494,VTI.US
2023-02-28,200.25,201.08,199.52,199.52,192.5361,2299124,VTI.US
2023-03-01,199.38,200.0,198.2,200.0,192.9993,4176017,VTI.US
2023-03-02,197.99,200.8,197.495,200.31,193.2985,3366143,VTI.US
2023-03-03,201.08,203.7,200.91,203.57,196.4444,2484710,VTI.US
2023-03-06,203.86,204.98,203.03,203.3,196.1838,3812890,VTI.US
2023-03-07,203.1,203.47,199.9501,200.27,193.2599,3346744,VTI.US
2023-03-08,200.4,201.0,199.4,200.53,193.5108,1985879,VTI.US
2023-03-09,200.8,201.75,196.12,196.57,189.6894,2974271,VTI.US
2023-03-10,196.25,197.0,192.26,193.26,186.4952,6310531,VTI.US
2023-03-13,190.9,195.16,190.18,192.46,185.7232,6253729,VTI.US
2023-03-14,195.5,196.95,193.57,195.89,189.0332,4473782,VTI.US
2023-03-15,192.63,194.4,191.53,194.38,187.576,3855377,VTI.US
